"case","category","type","element","level","wgt","nll","objfun"
"","priors","selectivity functions","pvNPSel","3",1,0,0
"","priors","selectivity functions","pvNPSel","4",1,0,0
"","priors","selectivity functions","pvNPSel","5",1,0,0
"","priors","selectivity functions","pvNPSel","6",1,0,0
"","priors","selectivity functions","pvNPSel","7",1,0,0
"","priors","selectivity functions","pvNPSel","8",1,0,0
"","priors","selectivity functions","pvNPSel","9",1,0,0
"","priors","selectivity functions","pvNPSel","10",1,0,0
"","priors","selectivity functions","pvNPSel","11",1,0,0
"","priors","selectivity functions","pvNPSel","12",1,0,0
"","priors","fisheries","pLnC","1",1,0,0
"","priors","fisheries","pLnC","2",1,0,0
"","priors","fisheries","pLnC","3",1,0,0
"","priors","fisheries","pLnC","4",1,0,0
"","priors","fisheries","pLnC","5",0,0,0
"","priors","fisheries","pLnC","6",1,0,0
"","priors","fisheries","pLnC","7",1,0,0
"","priors","fisheries","pLnC","8",1,0,0
"","priors","fisheries","pDC2","1",1,0,0
"","priors","fisheries","pDC2","2",1,0,0
"","priors","fisheries","pDC2","3",1,0,0
"","priors","fisheries","pDC2","4",1,0,0
"","priors","fisheries","pDevsLnC","1",0,116.553098852,0
"","priors","fisheries","pDevsLnC","2",0,48.7230191359,0
"","priors","fisheries","pDevsLnC","3",0,62.8938437778,0
"","priors","fisheries","pDevsLnC","4",0,73.0796474549,0
"","priors","surveys","pQ","1",1,0,0
"","priors","surveys","pQ","2",1,69.0289697442,69.0289697442
"","priors","surveys","pQ","3",1,0,0
"","priors","surveys","pQ","4",1,116.014611145,116.014611145
"","priors","surveys","pQ","5",1,0,0
