ParName   Value   Gradient
log_fdev[3](9)    -0.294119  8.38623e-07
log_fdev[3](10)     0.198884  1.24449e-06
log_fdev[3](11)     0.556166  1.91539e-06
log_fdev[3](12)     0.550979  2.74071e-06
log_fdev[3](13)     0.230361  2.40566e-06
log_fdev[3](14)     0.239451  2.09294e-06
log_fdev[3](15)       0.2809  1.53814e-06
log_fdev[3](16)     0.568692  1.52767e-06
log_fdev[3](17)     0.520992  6.97827e-08
log_fdev[3](18)      0.48178 -1.05444e-06
log_fdev[3](19)     0.217454 -2.17592e-07
log_fdev[3](20)     0.680605  1.67109e-06
log_fdev[3](21)     0.613655  3.43058e-06
log_fdev[3](22)     0.697951  1.76486e-06
log_fdev[3](23)     0.665722 -3.59818e-07
log_fdev[3](24)      1.08235  9.51277e-07
log_fdev[3](25)      1.40109   6.8903e-07
log_fdev[3](26)      1.30412  6.88552e-07
log_fdev[3](27)      1.06636  4.14091e-07
log_fdev[3](28)      1.61027 -4.60487e-07
log_fdev[3](29)      1.56331  4.66883e-07
log_fdev[3](30)     0.319226  6.66341e-07
log_fdev[3](31)    0.0691572  8.83203e-07
log_fdev[3](32)    -0.154911  1.12977e-06
log_fdev[3](33)     0.521021  1.66531e-06
log_fdev[3](34)     0.728069  2.00929e-06
log_fdev[3](35)     0.344025  1.11141e-06
log_fdev[3](36)     0.652014 -1.64006e-07
log_fdev[3](37)      2.48102  5.60261e-06
log_fdev[3](38)      2.00847  6.21483e-06
log_fdev[3](39)      1.72438  1.21213e-05
log_fdev[3](40)      2.64022  4.52335e-05
log_fdev[3](41)     0.811642  3.32655e-06
log_fdev[3](42)     0.465887   -5.269e-07
log_fdev[3](43)     0.241416 -8.76528e-07
log_fdev[3](44)    -0.126243  4.38112e-07
log_fdev[3](45)    -0.299904  9.73078e-08
log_fdev[3](46)    -0.783855 -1.20924e-07
log_fdev[3](47)    -0.561444  -5.7437e-08
log_fdev[3](48)    -0.785989  9.15438e-07
log_fdev[3](49)     -1.04877 -3.91987e-07
log_fdev[3](50)     -1.35335  1.22283e-06
log_fdev[3](51)      -1.6453  1.45886e-06
log_fdev[3](52)     -1.29464 -1.20022e-06
log_fdev[3](53)    0.0210834 -4.64368e-06
log_fdev[3](54)    -0.396612 -2.94178e-06
log_fdev[3](55)      -1.7986 -6.31477e-07
log_fdev[3](56)     -1.72218 -1.08283e-06
log_fdev[3](57)     -1.40494 -9.35015e-07
log_fdev[3](58)    -0.420561 -3.90281e-07
log_fdev[3](59)     0.300805  2.01475e-06
log_fdev[3](60)   -0.0068145  7.35065e-06
log_fdev[3](61)   -0.0335003  9.61521e-06
log_fdev[3](62)     0.141537  1.10358e-05
log_fdev[3](63)    -0.526379  2.63498e-06
log_fdev[3](64)     -1.25314   1.7487e-06
log_fdev[3](65)    -0.928701  3.28738e-06
log_fdev[3](66)     -1.28696 -1.55847e-06
log_fdev[4](1)      2.01227  2.54155e-05
log_fdev[4](2)      2.33659  3.42861e-05
log_fdev[4](3)      1.54012  7.97955e-06
log_fdev[4](4)     0.957919  2.87301e-06
log_fdev[4](5)     0.564551  2.25358e-07
log_fdev[4](6)     0.211956 -1.15292e-06
log_fdev[4](7)     0.695037 -3.41896e-06
log_fdev[4](8)     0.443444 -2.31097e-06
log_fdev[4](9)     0.234381  3.69337e-06
log_fdev[4](10)    -0.671642  2.21728e-06
log_fdev[4](11)    0.0512692   3.9084e-06
log_fdev[4](12)     0.411592  5.32904e-06
log_fdev[4](13)    -0.110229   2.7824e-06
log_fdev[4](14)    0.0946247  6.76105e-06
log_fdev[4](15)    -0.176293  8.40982e-06
log_fdev[4](16)    -0.691375  1.50019e-06
log_fdev[4](17)    -0.461974  4.89918e-06
log_fdev[4](18)    -0.161647  6.74223e-06
log_fdev[4](19)     0.792317  2.30699e-05
log_fdev[4](20)     0.995225  3.88091e-05
log_fdev[4](21)     0.731466  3.18024e-05
log_fdev[4](22)       1.0991  3.51496e-05
log_fdev[4](23)     0.973172  1.31885e-05
log_fdev[4](24)      1.20575  2.19718e-06
log_fdev[4](25)      1.01205  1.76639e-07
log_fdev[4](26)     0.832409  5.15866e-07
log_fdev[4](27)     0.468214  2.04863e-06
log_fdev[4](28)     0.577358  2.03379e-06
log_fdev[4](29)     0.936722  -2.8133e-07
log_fdev[4](30)     0.368009  1.10855e-06
log_fdev[4](31)    -0.262477 -1.47106e-06
log_fdev[4](32)   0.00938483  6.60186e-06
log_fdev[4](33)    -0.208623 -1.96497e-05
log_fdev[4](34)    -0.187709 -4.13784e-05
log_fdev[4](35)    -0.293962  -2.4735e-05
log_fdev[4](36)      -0.5675 -1.51254e-05
log_fdev[4](37)    -0.847326 -6.40353e-06
log_fdev[4](38)     -1.18524 -1.45105e-06
log_fdev[4](39)     -1.20738 -6.12503e-07
log_fdev[4](40)     -1.46871  1.13419e-05
log_fdev[4](41)    -0.799443  9.00257e-06
log_fdev[4](42)    -0.635127  9.91637e-06
log_fdev[4](43)    -0.701494  1.59198e-05
log_fdev[4](44)    -0.684939  2.09667e-05
log_fdev[4](45)     -1.10214  1.74445e-05
log_fdev[4](46)    -0.860702   1.7478e-05
log_fdev[4](47)    -0.929921  1.22203e-05
log_fdev[4](48)     -1.08647  1.22253e-05
log_fdev[4](49)    -0.985894  1.66402e-06
log_fdev[4](50)     -1.43614  2.17372e-06
log_fdev[4](51)     -1.83058  1.42714e-06
log_foff[1]     -6.74549 -2.47189e-08
log_foff[2]    -0.500023   2.2278e-08
log_foff[3]    -0.500002  6.17821e-07
log_foff[4]     -6.06662  3.73643e-09
log_fdov[1](1)            0            0
log_fdov[2](1)            0            0
log_fdov[3](1)            0            0
log_fdov[4](1)            0            0
rec_dev_est(1974)    -0.233829 -7.74581e-05
rec_dev_est(1975)      1.04493 -0.000219143
rec_dev_est(1976)     0.159489 -0.000107474
rec_dev_est(1977)    -0.465031 -0.000179826
rec_dev_est(1978)     -1.20879 -0.000161979
rec_dev_est(1979)     -1.42797 -0.000168085
rec_dev_est(1980)     -1.12335 -0.000280695
rec_dev_est(1981)     -1.15325 -0.000225877
rec_dev_est(1982)   -0.0706971 -0.000350234
rec_dev_est(1983)    -0.533804 -0.000173788
rec_dev_est(1984)     -0.33737 -0.000342204
rec_dev_est(1985)    -0.150358 -0.000907978
rec_dev_est(1986)    -0.377629  -0.00131197
rec_dev_est(1987)    -0.935076  -0.00108495
rec_dev_est(1988)     -1.62565 -0.000595368
rec_dev_est(1989)     -2.54601 -0.000205667
rec_dev_est(1990)     -2.53099 -0.000127735
