"case","category","type","element","level","wgt","nll","objfun"
"","priors","selectivity functions","pvNPSel","3",1,0,0
"","priors","selectivity functions","pvNPSel","4",1,0,0
"","priors","selectivity functions","pvNPSel","5",1,0,0
"","priors","selectivity functions","pvNPSel","6",1,0,0
"","priors","selectivity functions","pvNPSel","7",1,0,0
"","priors","selectivity functions","pvNPSel","8",1,0,0
"","priors","selectivity functions","pvNPSel","9",1,0,0
"","priors","selectivity functions","pvNPSel","10",1,0,0
"","priors","selectivity functions","pvNPSel","11",1,0,0
"","priors","selectivity functions","pvNPSel","12",1,0,0
"","priors","fisheries","pLnC","1",1,0,0
"","priors","fisheries","pLnC","2",1,0,0
"","priors","fisheries","pLnC","3",1,0,0
"","priors","fisheries","pLnC","4",1,0,0
"","priors","fisheries","pLnC","5",0,0,0
"","priors","fisheries","pLnC","6",1,0,0
"","priors","fisheries","pLnC","7",1,0,0
"","priors","fisheries","pLnC","8",1,0,0
"","priors","fisheries","pDC2","1",1,0,0
"","priors","fisheries","pDC2","2",1,0,0
"","priors","fisheries","pDC2","3",1,0,0
"","priors","fisheries","pDC2","4",1,0,0
"","priors","fisheries","pDevsLnC","1",0,116.662376867,0
"","priors","fisheries","pDevsLnC","2",0,48.5523494482,0
"","priors","fisheries","pDevsLnC","3",0,65.3462095953,0
"","priors","fisheries","pDevsLnC","4",0,76.2812300189,0
"","priors","surveys","pQ","1",1,0,0
"","priors","surveys","pQ","2",1,65.2032062597,65.2032062597
"","priors","surveys","pQ","3",1,0,0
"","priors","surveys","pQ","4",1,91.2308719867,91.2308719867
"","priors","surveys","pQ","5",1,0,0
